,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
20,tpch,4GB,116.0,7511MB,7.0,6.0,7.0,112MB,1410MB,59.16015648841858,10.298104524612429,3.331728219985962,9.305797815322878,18.768991708755493,10.225576877593994,15.351205348968506,6.797008275985718,15.108771324157715,10.189779996871946,5.100296258926392,7.635587692260742,3.846012115478516,11.409815549850464,14.48070478439331,9.86188268661499,7.714750528335571,10.626267671585085,8.692789554595947,20.677655696868893,258.5828831195832,10.0,1560098745
21,tpch,4GB,86.0,4452MB,1.0,3.0,5.0,844MB,257MB,63.28896427154541,16.890161514282227,5.8013670444488525,10.162972450256348,22.073477506637573,11.07430934906006,23.39307427406311,8.886014699935911,14.948933362960815,10.43789291381836,8.41359543800354,8.202959060668945,7.11552357673645,11.200307607650757,20.663012027740482,11.628657102584839,7.860081195831299,11.766263723373413,9.767935752868652,23.86070919036865,307.4362120628357,10.0,1560099116
22,tpch,4GB,242.0,3345MB,3.0,2.0,6.0,344MB,3233MB,57.539279222488396,14.328840255737305,3.051828622817993,10.081002235412598,17.96580195426941,11.191370487213137,16.86397624015808,9.867698192596436,15.168261289596558,10.074040412902832,6.954871416091919,7.321171283721924,4.392591476440431,9.9092218875885,19.647745370864868,13.0712628364563,7.1281418800354,10.238099813461305,11.416597604751587,18.983371257781986,275.19517374038696,10.0,1560099465
23,tpch,8GB,57.0,175MB,5.0,8.0,6.0,117MB,1420MB,57.74951195716858,13.197365045547485,3.729474306106568,9.651547670364382,18.842819690704342,10.543838024139404,15.269694089889526,7.862484693527223,14.386873245239258,10.547735214233398,4.9587719440460205,7.991612672805786,3.694420576095581,15.89069128036499,20.812411308288574,12.728784322738647,6.890650749206543,10.561984062194824,15.368125438690186,21.874327898025516,282.55312418937683,10.0,1560099817
24,tpch,5GB,27.0,7332MB,4.0,11.0,16.0,561MB,1465MB,59.756858110427856,14.373836755752563,5.536701679229736,9.720855474472048,21.9941999912262,11.04985284805298,17.147799253463745,9.525099515914915,15.27004098892212,9.868086576461794,7.69153618812561,8.112175226211548,3.961516857147217,9.722134590148926,15.426947355270386,11.012075185775757,7.446178197860718,10.556777715682985,8.915061473846436,22.549646854400635,279.63738083839417,10.0,1560100171
25,tpch,6GB,115.0,6096MB,7.0,6.0,6.0,52MB,1076MB,58.37895965576172,10.683024406433104,4.35197377204895,10.7297785282135,21.890177488327023,10.734374523162842,14.67596173286438,9.116613626480104,15.628388166427612,9.789002656936647,5.083729267120361,7.611399173736572,3.94245171546936,15.154688358306885,20.552334547042847,10.751440286636353,7.182651996612549,10.346732139587402,9.365351676940918,20.76923084259033,276.7382645606994,10.0,1560100517
26,tpch,7GB,177.0,3392MB,8.0,12.0,8.0,833MB,3422MB,57.156219244003296,11.036462306976318,3.9374082088470463,10.158178806304932,21.619557619094852,10.448649883270264,14.5033597946167,8.962751388549805,14.550856590270994,10.465030670166016,5.160621643066406,7.826010227203369,3.8350038528442383,15.693708419799805,19.22289490699768,10.222311258316038,7.566248893737793,10.16861629486084,8.938922643661497,20.562748432159427,272.0355610847473,10.0,1560100882
27,tpch,6GB,7.0,6984MB,6.0,15.0,10.0,285MB,2785MB,58.721633672714226,10.627083778381348,2.938139677047729,9.84375286102295,21.7538845539093,10.230680465698242,15.507948398590088,9.353447198867796,15.998220682144165,10.32170796394348,4.9519593715667725,8.905301094055176,3.74506950378418,12.91722559928894,17.371095180511475,10.135551214218141,7.007149457931519,9.650985956192015,8.897904157638552,22.06466245651245,270.9434032440185,10.0,1560101222
28,tpch,6GB,23.0,7613MB,8.0,11.0,14.0,538MB,1094MB,59.208651304245,10.759283065795898,3.1835172176361084,10.28340196609497,21.851558446884155,10.362305641174316,16.090832471847534,9.777445077896116,14.258798837661743,10.49901819229126,5.114446640014648,7.755077123641968,3.8480749130249023,12.696752071380615,17.292490005493164,10.646082162857057,7.637951374053955,10.06041431427002,11.478293895721436,22.892994165420532,275.6973888874054,10.0,1560101571
29,tpch,3GB,135.0,136MB,6.0,15.0,1.0,216MB,1774MB,57.536368608474724,15.309175968170164,3.228764533996582,12.769934892654419,17.539461135864258,10.386480331420898,15.689026355743408,7.038422107696532,15.213779211044312,10.186818361282347,5.105537414550781,8.593205451965332,3.842461347579956,15.033968448638914,14.145695686340332,10.126102447509766,7.2027642726898184,10.508213520050047,9.7685866355896,20.01601195335388,269.2407786846161,10.0,1560101909
30,tpch,4GB,61.0,7492MB,4.0,16.0,9.0,216MB,1951MB,59.33956551551819,13.928141593933105,3.2060720920562744,12.481062412261965,17.584168672561646,10.487608909606934,15.743576049804688,6.956818103790282,15.84790301322937,9.912559509277344,4.984888792037964,7.892424583435059,3.965619564056397,15.559265851974487,13.50134563446045,10.579124689102171,7.419597625732423,10.514724493026732,9.13337755203247,22.61946129798889,271.65730595588684,10.0,1560102255
31,tpch,4GB,90.0,4161MB,4.0,9.0,16.0,456MB,2387MB,59.06138062477112,16.259129762649536,3.2946951389312744,10.50951337814331,19.066868782043453,10.906304121017456,16.393048763275143,9.208675146102903,15.293178081512453,9.6145441532135,7.175422430038452,8.305774688720701,3.718987464904785,9.942492961883543,18.166717290878296,11.436980724334715,6.901157140731812,10.505728960037233,17.994814157485962,22.814319610595703,286.56973338127136,10.0,1560102611
32,tpch,5GB,155.0,1156MB,1.0,2.0,6.0,715MB,1112MB,62.91682767868042,13.850319147109985,3.8307230472564697,9.807359218597412,19.206814289093014,11.99299383163452,23.728769540786747,11.90880799293518,15.184077739715574,10.497242689132689,7.159888505935669,8.095799446105957,6.5523831844329825,11.648524284362793,156.72560763359067,11.7434561252594,7.914410352706909,12.007735967636108,11.812934637069702,21.68380570411682,438.2684810161591,10.0,1560103123
33,tpch,4GB,109.0,7619MB,7.0,6.0,6.0,42MB,1642MB,58.9561231136322,10.75326156616211,3.7361536026000977,9.675644159317015,21.4677517414093,10.531816959381104,15.143656492233276,9.237356424331663,15.258026123046875,10.493232011795042,5.107693910598755,8.109205007553099,3.7596452236175537,15.843792915344238,21.5582811832428,10.107070684432985,7.761961460113525,10.22156286239624,9.179131984710693,20.464019775390625,277.3653872013092,10.0,1560103470
34,tpch,4GB,138.0,5271MB,8.0,5.0,7.0,165MB,3395MB,57.96606230735779,15.687642574310305,5.282907247543335,9.766390800476074,21.830783605575558,10.45511245727539,14.773919105529785,10.630405664443972,14.577453374862671,9.76597785949707,6.726896524429321,8.30755877494812,4.106686592102052,16.04434585571289,21.118686199188236,13.377710580825806,7.581952095031737,9.917396306991575,9.06161880493164,21.3752875328064,288.35479426383966,10.0,1560103832
35,tpch,1GB,236.0,1171MB,1.0,5.0,7.0,268MB,3104MB,61.56040763854981,13.009846210479735,4.502033233642578,10.225102424621582,21.96566319465637,10.968289375305176,21.763055562973022,8.558889150619509,15.095539331436155,10.333415269851683,4.954138278961182,8.213897943496704,7.0311129093170175,14.046902656555176,17.6117684841156,11.312004327774048,8.174241304397581,11.256751537322998,8.93700885772705,23.674424171447754,293.19449186325073,10.0,1560104195
36,tpch,2GB,15.0,3172MB,3.0,1.0,6.0,935MB,3553MB,57.549134254455566,12.26744818687439,3.13486123085022,9.338544368743896,17.86765050888061,11.234670400619507,16.77328658103943,9.481112480163574,15.12809133529663,9.622352600097656,6.9250736236572275,7.412443161010742,4.258509397506714,9.687122106552122,149.63916230201718,11.325772047042847,7.227036237716675,11.54180145263672,11.57589602470398,19.050500392913822,401.0404686927795,10.0,1560104670
37,tpch,2GB,89.0,1576MB,8.0,12.0,2.0,903MB,2129MB,57.674953937530525,12.873430728912355,3.943915605545044,12.698323488235474,18.317625284194946,10.622796058654783,15.053482294082642,8.392273664474487,15.846973180770874,10.086543321609495,5.003933668136597,7.814638376235963,3.718743801116944,15.19578504562378,20.608615636825558,11.330919027328491,7.191367149353027,9.883877515792848,9.448955535888672,20.16906332969665,275.8762166500092,10.0,1560105015
38,tpch,4GB,103.0,7813MB,1.0,11.0,1.0,135MB,2330MB,61.32710218429565,15.209997653961182,3.958107948303223,13.143350601196287,18.185360193252567,12.282093048095705,22.110460042953488,8.609476089477539,15.19220232963562,10.371300935745241,10.607181310653688,8.572716236114504,7.021817445755005,15.823457717895508,22.179585218429565,12.779003381729126,7.834565162658691,11.090621709823608,11.216842889785767,23.49407958984375,311.00932168960566,10.0,1560105401
39,tpch,5GB,97.0,6604MB,3.0,9.0,1.0,408MB,2079MB,58.51811957359314,12.691136360168455,3.2078115940093994,12.374216079711914,17.441433906555176,11.060028076171877,16.755003213882446,7.206900835037231,15.271594762802124,9.953182935714723,5.2982141971588135,7.92279314994812,4.1840243339538565,15.82292914390564,14.494024753570555,10.96181058883667,7.362483263015747,9.855004787445068,9.081334114074707,20.546184062957767,270.00822973251337,10.0,1560105740
40,tpch,6GB,220.0,3766MB,1.0,7.0,10.0,867MB,3097MB,62.948220014572144,11.84519648551941,4.517273664474487,10.015206813812256,19.305348873138424,11.141733646392822,22.899943590164185,11.94981288909912,15.577733039855955,10.330632448196413,7.079957962036133,9.150667428970335,6.734962463378906,13.012385129928589,17.928014993667606,11.499070167541506,7.950893878936768,11.140202283859253,14.828032970428467,24.95092010498047,304.80620884895325,10.0,1560106119
41,tpch,7GB,224.0,3145MB,7.0,4.0,13.0,823MB,230MB,57.717798709869385,12.172691345214846,4.080078601837158,9.43977689743042,18.963999271392826,10.376169204711914,20.186052560806274,9.230525732040403,15.735153436660767,9.347750186920166,7.337727785110474,7.622314929962157,4.73237943649292,9.508869886398317,164.00531315803528,9.66061305999756,7.217519044876099,10.989358901977539,9.291084051132204,21.038433551788327,418.65360975265503,10.0,1560106607
42,tpch,8GB,142.0,115MB,6.0,14.0,13.0,561MB,460MB,57.367066621780396,10.650647640228273,3.8683381080627437,9.672125577926638,21.827025413513184,12.344247102737427,16.768284320831302,6.679054498672485,15.362873792648315,10.290196895599363,4.823519229888916,8.0096275806427,3.919642448425293,9.912849664688109,21.60362720489502,9.650765180587767,7.268512725830077,10.21196675300598,11.269537448883055,22.918552160263058,274.4184603691101,10.0,1560106955
43,tpch,5GB,119.0,7069MB,7.0,9.0,5.0,52MB,882MB,60.73159885406494,12.64575743675232,4.03216028213501,10.277634382247923,18.83065676689148,10.471729755401613,15.873279333114624,6.9868323802948,15.620432376861572,10.067279815673828,5.023553848266602,7.8332152366638175,3.7528326511383057,13.495323657989502,15.01747751235962,11.011716365814207,7.25102972984314,10.709298133850098,9.083900213241575,20.37027359008789,269.08598232269287,10.0,1560107294
44,tpch,4GB,241.0,2824MB,7.0,3.0,8.0,221MB,1070MB,56.76902532577515,13.108734369277954,4.035124778747559,9.661818027496338,22.011613130569454,10.309759855270388,20.14218378067017,9.457744121551514,14.172707319259644,9.806016206741331,7.212617635726929,7.417968511581421,3.9156360626220703,9.80788588523865,17.91679072380066,10.619614601135254,7.132873773574829,10.210690736770632,12.52955150604248,18.850415706634518,275.0887720584869,10.0,1560107643
45,tpch,5GB,121.0,7177MB,4.0,5.0,6.0,158MB,1220MB,57.14357566833496,16.67926001548767,3.136790037155152,9.887751340866087,18.760494947433468,10.488045692443848,16.549328327178955,8.080673217773438,14.493018627166748,9.997293472290039,5.034713983535767,9.559978008270264,4.072991371154785,9.6212956905365,17.638070821762085,10.95586395263672,7.0598464012146,9.85809087753296,15.590925693511965,20.992154598236088,275.6001627445221,10.0,1560107988
46,tpch,1GB,13.0,5255MB,4.0,11.0,10.0,506MB,1475MB,58.512578248977654,12.108646631240845,3.988206624984741,10.22686243057251,18.698643922805786,11.330579996109009,15.391614198684692,8.02263069152832,14.543702363967896,10.240061998367311,4.9780378341674805,8.386502027511598,3.71001410484314,15.983843088150024,20.89698600769043,12.840876817703247,7.020312786102295,9.71864366531372,10.589867353439333,23.003283262252808,280.19189405441284,10.0,1560108342
47,tpch,5GB,143.0,390MB,8.0,12.0,12.0,690MB,269MB,57.27060508728027,10.568135976791384,3.283299446105957,10.294139146804811,19.734195470809933,10.597347021102903,15.376122236251831,7.012554407119751,14.374706506729126,9.629460334777832,6.187881946563722,9.095179319381712,3.759208202362061,12.90388011932373,35.949610948562615,9.625476360321043,6.997191667556763,10.635782003402712,11.866591691970825,21.97695827484131,287.1383261680603,10.0,1560108699
48,tpch,6GB,175.0,3457MB,5.0,15.0,2.0,91MB,19MB,58.65540885925293,11.53932499885559,2.528548240661621,14.039435625076294,12.717727184295654,10.462693691253662,16.001972913742065,8.151986360549929,14.704941749572756,10.31403923034668,5.266209602355957,8.267067193984985,4.512805938720703,17.515922784805298,21.736676931381226,15.159391403198242,6.831930160522461,10.83960247039795,9.390161752700807,22.69863986968994,281.33448696136475,10.0,1560109054
