,benchmark,conf_effective_cache_size,conf_effective_io_concurrency,conf_maintenance_work_mem,conf_max_parallel_workers,conf_random_page_cost,conf_seq_page_cost,conf_temp_buffers,conf_work_mem,queryTime_1,queryTime_10,queryTime_11,queryTime_12,queryTime_13,queryTime_14,queryTime_15,queryTime_16,queryTime_17_rewritten,queryTime_19,queryTime_2,queryTime_20_rewritten,queryTime_22,queryTime_3,queryTime_4,queryTime_5,queryTime_6,queryTime_7,queryTime_8,queryTime_9,queryTime_Total,scale_factor,timestamp
20,tpch,5GB,143.0,390MB,8.0,12.0,12.0,690MB,269MB,57.27060508728027,10.568135976791382,3.283299446105957,10.29413914680481,19.734195470809937,10.597347021102905,15.376122236251831,7.012554407119751,14.374706506729126,9.629460334777832,6.187881946563721,9.095179319381714,3.7592082023620605,12.90388011932373,35.94961094856262,9.625476360321045,6.997191667556763,10.63578200340271,11.866591691970825,21.97695827484131,287.1383261680603,10.0,1560108699
21,tpch,6GB,220.0,3766MB,1.0,7.0,10.0,867MB,3097MB,62.948220014572144,11.84519648551941,4.517273664474487,10.015206813812256,19.305348873138428,11.141733646392822,22.899943590164185,11.949812889099121,15.577733039855957,10.330632448196411,7.079957962036133,9.150667428970337,6.734962463378906,13.012385129928589,17.928014993667603,11.499070167541504,7.950893878936768,11.140202283859253,14.828032970428467,24.95092010498047,304.80620884895325,10.0,1560106119
22,tpch,5GB,155.0,1156MB,1.0,2.0,6.0,715MB,1112MB,62.91682767868042,13.850319147109985,3.8307230472564697,9.807359218597412,19.206814289093018,11.992993831634521,23.728769540786743,11.90880799293518,15.184077739715576,10.49724268913269,7.159888505935669,8.095799446105957,6.552383184432983,11.648524284362793,156.7256076335907,11.7434561252594,7.914410352706909,12.007735967636108,11.812934637069702,21.68380570411682,438.26848101615906,10.0,1560103123
23,tpch,7GB,161.0,600MB,6.0,14.0,11.0,286MB,3877MB,59.4717493057251,11.918447017669678,3.5261051654815674,9.949312925338745,22.293431758880615,10.631898164749146,16.427653551101685,7.539124965667725,15.389095544815063,9.795929670333862,5.066981554031372,8.194383382797241,3.940781593322754,13.88889455795288,17.487772226333618,10.317800521850586,7.167830228805542,10.063709020614624,9.194364547729492,22.846555948257446,275.11182165145874,10.0,1560093542
24,tpch,3GB,80.0,7965MB,6.0,9.0,9.0,960MB,3069MB,59.12846612930298,11.137038946151733,3.7015256881713867,10.08927321434021,18.72038722038269,10.41152048110962,15.215127229690552,7.197065830230713,15.63581657409668,9.970954895019531,5.265315055847168,7.5534443855285645,3.56437087059021,9.802546977996826,17.590523719787598,10.065546989440918,7.387419700622559,9.653029918670654,8.688291549682617,22.27174401283264,263.04940938949585,10.0,1560109387
25,tpch,5GB,119.0,7069MB,7.0,9.0,5.0,52MB,882MB,60.73159885406494,12.64575743675232,4.03216028213501,10.277634382247925,18.83065676689148,10.471729755401611,15.873279333114624,6.9868323802948,15.620432376861572,10.067279815673828,5.023553848266602,7.833215236663818,3.7528326511383057,13.495323657989502,15.01747751235962,11.011716365814209,7.25102972984314,10.709298133850098,9.083900213241577,20.37027359008789,269.08598232269287,10.0,1560107294
26,tpch,5GB,10.0,5325MB,6.0,16.0,11.0,297MB,3436MB,56.37673354148865,12.007824897766113,4.151667833328247,10.214333772659302,21.606574773788452,11.032613039016724,15.693519353866577,7.343580484390259,15.329332113265991,9.9109206199646,5.032398223876953,8.316780805587769,4.1317298412323,10.174671411514282,16.340210676193237,10.330038785934448,7.034034490585327,10.283844947814941,9.366636037826538,22.866626501083374,267.5440721511841,10.0,1560097603
27,tpch,3GB,157.0,7178MB,8.0,2.0,10.0,656MB,1030MB,58.7557897567749,13.266067504882812,4.5297160148620605,9.426367998123169,21.921236276626587,10.622408866882324,19.868062734603882,10.055328845977783,15.462416172027588,10.42664098739624,7.1241819858551025,7.889362812042236,4.137998104095459,9.787304401397705,164.21760439872742,9.848285675048828,7.389554500579834,11.548746347427368,11.504618406295776,21.266130208969116,429.0478219985962,10.0,1560092497
28,tpch,8GB,77.0,18MB,4.0,10.0,15.0,191MB,3354MB,58.076982259750366,10.723201036453247,3.7671194076538086,9.831116199493408,21.798099756240845,12.18964171409607,16.68181014060974,9.142070055007935,15.989650249481201,9.814628601074219,6.679183006286621,8.333947658538818,4.075792074203491,9.713964939117432,17.401103734970093,10.063541412353516,7.2973387241363525,10.484908819198608,11.947933912277222,22.01274824142456,276.02478194236755,10.0,1560092844
29,tpch,1GB,13.0,5255MB,4.0,11.0,10.0,506MB,1475MB,58.51257824897766,12.108646631240845,3.988206624984741,10.22686243057251,18.698643922805786,11.330579996109009,15.391614198684692,8.02263069152832,14.543702363967896,10.24006199836731,4.9780378341674805,8.386502027511597,3.7100141048431396,15.983843088150024,20.89698600769043,12.840876817703247,7.020312786102295,9.71864366531372,10.589867353439331,23.003283262252808,280.19189405441284,10.0,1560108342
